time(s),delay(ms)
3.89988,46.56
3.899909,46.563
3.8999200000000003,46.565
3.900777,46.706
3.900804,46.714
3.900814,46.715
3.9008380000000002,46.028
3.9008580000000004,46.008
3.9008670000000003,46.009
3.901714,46.094
3.901741,46.106
3.9017510000000004,46.107
3.902611,46.225
3.9026370000000004,46.237
3.902647,46.239
3.90352,46.33
3.903546,46.33
3.903556,46.331
3.903578,45.679
3.9035970000000004,45.68
3.903605,45.68
3.904472,45.812
3.9045,45.827
3.90451,45.829
3.90529,45.805
3.905313,45.802
3.9053229999999997,45.802
3.9063820000000002,46.134
3.906397,46.131
3.9064050000000003,46.131
3.9073960000000003,46.39
3.9074169999999997,46.386
3.907426,46.385
3.9074459999999998,45.679
3.907457,45.664
3.907474,45.672
3.908334,45.824
3.908363,45.832
3.908374,45.834
3.909103,45.856
3.909127,45.866
3.909151,45.883
3.909161,45.885
3.909178,45.895
3.9101950000000003,45.955
3.910223,45.963
3.910235,45.967
3.910259,45.983
3.9111700000000003,45.944
3.911197,45.959
3.911207,45.961
3.9112310000000003,45.978
3.9122779999999997,46.06
3.912305,46.072
3.9123159999999997,46.075
3.912338,46.09
3.913799,46.616
3.913826,46.625
3.913837,46.628
3.913861,46.645
3.914821,46.718
3.9148490000000002,46.728
3.91486,46.731
3.914884,46.748
3.9151149999999997,46.065
3.91513,46.064
3.915139,46.065
3.915159,46.077
3.916095,46.085
3.916111,46.089
3.91612,46.09
3.91614,46.102
3.91615,45.21
3.9161669999999997,45.213
3.917083,46.121
3.9170979999999997,46.128
3.9171080000000003,45.247
3.917127,45.251
3.9171370000000003,45.253
3.917154,45.263
3.918192,45.424
3.918219,45.413
3.918231,45.417
3.918421,45.6
3.919346,45.689
3.9193719999999996,45.702
3.9203200000000002,46.208
3.92035,46.224
3.920363,46.229
3.9203710000000003,46.23
3.921254,46.259
3.921277,46.268
3.9212860000000003,46.269
3.921294,46.27
3.9213139999999997,45.439
3.9213310000000003,45.442
3.9213400000000003,45.443
3.921348,45.443
3.922176,45.432
3.9222020000000004,45.444
3.922212,45.446
3.92222,45.447
3.9233029999999998,45.699
3.923336,45.693
3.923352,45.701
3.923384,45.726
3.924377,45.905
3.924405,45.903
3.9244149999999998,45.904
3.924439,45.917
3.925482,46.162
3.9255120000000003,46.175
3.925528,46.183
3.925563,46.211
3.9261950000000003,46.034
3.926215,46.04
3.926223,46.04
3.9262420000000002,46.051
3.927106,46.084
3.927133,46.097
3.927143,46.099
3.927166,46.114
3.927177,45.318
3.927194,45.297
3.927204,45.299
3.927222,45.309
3.928225,45.536
3.928246,45.542
3.928269,45.558
3.9282869999999996,45.568
3.929779,46.284
3.929801,46.285
3.929823,45.912
3.9298490000000004,45.923
3.929862,45.928
3.929883,45.941
3.930615,45.887
3.930633,45.891
3.930643,45.893
3.930665,45.908
3.931489,45.947
3.931507,45.927
3.9315160000000002,45.928
3.931541,45.946
3.932397,46.038
3.932417,46.045
3.932426,46.046
3.93245,46.062
3.9335340000000003,46.371
3.933552,46.347
3.933562,46.349
3.933574,46.353
3.933603,45.636
3.933628,45.646
3.934821,46.831
3.934837,46.839
3.934846,46.026
3.934865,46.028
3.9348899999999998,46.02
3.934913,46.034
3.9349380000000003,46.05
3.9358449999999996,46.073
3.935863,46.079
3.935888,46.096
3.935913,46.114
3.935937,46.13
3.936787,46.009
3.936801,46.009
3.936821,46.021
3.936849,46.042
3.936878,46.063
3.937881,46.127
3.937899,46.131
3.9379239999999998,46.148
3.93795,46.167
3.937979,46.188
3.9389819999999998,46.257
3.939,46.237
3.939622,46.533
3.93964,46.513
3.9396489999999997,46.514
3.93967,46.527
3.939694,46.544
3.940593,46.509
3.94061,46.508
3.9406190000000003,46.509
3.940642,46.525
3.9406689999999998,46.545
3.941544,46.522
3.9415590000000003,46.519
3.941568,46.52
3.941587,46.531
3.941614,46.551
3.942455,46.484
3.942469,46.48
3.942478,46.481
3.942497,46.492
3.9425250000000003,46.513
3.942549,45.608
3.942573,45.616
3.942596,45.63
