date_time,test_number,PRR_A,PRR_B
2019-08-31 05:27:00+00:00,73292,76.0,88.0
2019-08-31 02:32:00+00:00,73293,84.0,92.0
2019-08-31 09:46:00+00:00,73294,88.0,88.0
2019-08-30 23:51:00+00:00,73295,80.0,92.0
2019-08-31 22:36:00+00:00,73296,88.0,88.0
2019-08-31 02:04:00+00:00,73297,88.0,88.0
2019-08-31 23:11:00+00:00,73298,72.0,88.0
2019-08-31 02:18:00+00:00,73299,80.0,88.0
2019-08-31 19:34:00+00:00,73300,84.0,96.0
2019-08-31 12:13:00+00:00,73301,76.0,88.0
2019-08-31 09:53:00+00:00,73302,80.0,80.0
2019-08-31 07:19:00+00:00,73303,84.0,92.0
2019-08-31 07:47:00+00:00,73304,92.0,80.0
2019-08-31 19:48:00+00:00,73305,92.0,96.0
2019-08-31 16:25:00+00:00,73306,84.0,92.0
2019-08-31 06:09:00+00:00,73307,80.0,92.0
2019-08-31 22:29:00+00:00,73308,88.0,88.0
2019-08-31 11:52:00+00:00,73309,84.0,92.0
2019-08-31 06:44:00+00:00,73310,76.0,92.0
2019-08-31 04:52:00+00:00,73311,84.0,96.0
2019-09-01 02:18:01+00:00,73340,80.0,96.0
2019-09-01 12:48:01+00:00,73341,76.0,92.0
2019-09-01 06:23:01+00:00,73342,92.0,92.0
2019-09-01 22:29:01+00:00,73343,84.0,92.0
2019-09-01 08:50:01+00:00,73344,80.0,96.0
2019-09-01 13:30:01+00:00,73345,80.0,96.0
2019-09-01 14:47:01+00:00,73346,84.0,92.0
2019-09-01 14:33:01+00:00,73347,84.0,96.0
2019-09-01 00:40:01+00:00,73348,80.0,92.0
2019-08-31 23:51:01+00:00,73349,88.0,88.0
2019-09-01 02:25:01+00:00,73350,80.0,80.0
2019-09-01 01:50:01+00:00,73351,88.0,92.0
2019-09-01 06:02:01+00:00,73352,92.0,96.0
2019-09-01 18:31:01+00:00,73353,88.0,88.0
2019-09-01 18:17:01+00:00,73354,84.0,88.0
2019-09-01 08:01:01+00:00,73355,80.0,88.0
2019-09-01 07:19:01+00:00,73356,92.0,80.0
2019-09-01 22:36:01+00:00,73357,84.0,88.0
2019-09-01 23:25:01+00:00,73358,76.0,80.0
2019-09-01 04:52:01+00:00,73359,76.0,84.0
2019-09-01 16:18:01+00:00,73360,92.0,92.0
2019-09-01 22:43:01+00:00,73361,76.0,88.0
2019-09-01 17:56:01+00:00,73362,88.0,88.0
2019-09-01 05:55:01+00:00,73363,80.0,88.0
2019-09-02 23:11:01+00:00,73387,76.0,88.0
2019-09-02 06:02:01+00:00,73388,80.0,80.0
2019-09-02 10:14:01+00:00,73389,68.0,84.0
2019-09-02 05:27:01+00:00,73390,76.0,84.0
2019-09-02 14:47:01+00:00,73391,76.0,92.0
2019-09-02 05:48:01+00:00,73392,72.0,84.0
2019-09-02 04:31:01+00:00,73393,76.0,84.0
2019-09-02 15:15:01+00:00,73394,64.0,88.0
2019-09-02 21:40:01+00:00,73395,68.0,68.0
2019-09-02 00:33:01+00:00,73396,84.0,88.0
2019-09-02 03:42:01+00:00,73397,76.0,88.0
2019-09-02 22:08:01+00:00,73398,72.0,84.0
2019-09-02 20:09:01+00:00,73399,68.0,88.0
2019-09-02 20:23:01+00:00,73400,76.0,80.0
2019-09-02 10:00:01+00:00,73401,84.0,88.0
2019-09-02 04:45:01+00:00,73402,68.0,72.0
2019-09-02 17:49:01+00:00,73403,76.0,76.0
2019-09-02 18:52:01+00:00,73404,76.0,84.0
2019-09-02 19:20:01+00:00,73405,,
2019-09-02 11:59:01+00:00,73406,48.0,68.0
2019-09-02 14:33:01+00:00,73407,72.0,92.0
2019-09-02 15:43:01+00:00,73408,52.0,60.0
2019-09-02 14:26:01+00:00,73409,80.0,76.0
2019-09-02 10:35:01+00:00,73410,80.0,88.0
2019-09-03 11:52:01+00:00,73437,36.0,40.0
2019-09-03 12:20:01+00:00,73438,84.0,76.0
2019-09-03 05:55:01+00:00,73439,80.0,92.0
2019-09-03 08:15:01+00:00,73440,68.0,72.0
2019-09-03 20:44:01+00:00,73441,84.0,80.0
2019-09-03 13:44:01+00:00,73442,76.0,76.0
2019-09-03 02:46:01+00:00,73443,72.0,92.0
2019-09-03 07:33:01+00:00,73444,72.0,72.0
2019-09-03 17:28:01+00:00,73445,76.0,88.0
2019-09-03 17:35:01+00:00,73446,76.0,76.0
2019-09-03 10:00:01+00:00,73447,72.0,84.0
2019-09-03 05:34:01+00:00,73448,80.0,88.0
2019-09-03 23:04:01+00:00,73449,72.0,76.0
2019-09-03 14:19:01+00:00,73450,60.0,80.0
2019-09-03 16:46:01+00:00,73451,68.0,64.0
2019-09-03 14:40:01+00:00,73452,72.0,80.0
2019-09-03 12:34:01+00:00,73453,64.0,88.0
2019-09-03 16:32:01+00:00,73454,72.0,84.0
2019-09-03 09:53:01+00:00,73455,68.0,92.0
2019-09-03 07:26:01+00:00,73456,64.0,80.0
2019-09-03 15:29:01+00:00,73457,72.0,84.0
2019-09-03 04:24:01+00:00,73458,84.0,92.0
2019-09-03 03:35:01+00:00,73459,84.0,96.0
2019-09-03 11:24:01+00:00,73460,76.0,88.0
2019-09-04 12:13:01+00:00,73490,64.0,92.0
2019-09-04 22:01:01+00:00,73491,80.0,96.0
2019-09-04 21:47:01+00:00,73492,76.0,92.0
2019-09-04 19:27:01+00:00,73493,80.0,96.0
2019-09-04 14:05:01+00:00,73494,84.0,88.0
2019-09-04 03:49:01+00:00,73495,80.0,84.0
2019-09-04 14:33:01+00:00,73496,64.0,88.0
2019-09-04 06:09:01+00:00,73497,88.0,96.0
2019-09-04 22:50:01+00:00,73498,84.0,96.0
2019-09-04 04:31:01+00:00,73499,84.0,96.0
2019-09-04 06:23:01+00:00,73500,84.0,84.0
2019-09-04 22:15:01+00:00,73501,76.0,88.0
2019-09-04 08:36:01+00:00,73502,60.0,88.0
2019-09-04 08:08:01+00:00,73503,72.0,84.0
2019-09-04 20:37:01+00:00,73504,88.0,96.0
2019-09-04 07:40:01+00:00,73505,76.0,80.0
2019-09-04 16:25:01+00:00,73506,76.0,92.0
2019-09-04 09:18:01+00:00,73507,72.0,88.0
2019-09-04 22:29:01+00:00,73508,92.0,88.0
2019-09-04 16:32:01+00:00,73509,76.0,96.0
2019-09-04 08:50:01+00:00,73510,60.0,80.0
